timestep,demand_BBEL_FIN,demand_BEEL_FIN,BESOLPV_P,BBSOLPV_P,BBWIND_P,BEWIND_P,BBRORHYD_P
0,673486.5918,584203.1215,0.163593333333,0.191970000000,0.169545000000,0.184285000000,0.450000000000
1,711811.5184,617447.3493,0.266608888889,0.313684722222,0.194655555556,0.213303888889,0.450000000000
2,1030961.77,894288.1592,0.042700555556,0.051011481481,0.184828148148,0.200493518519,0.450000000000
3,1394402.827,1209548.184,0.001862777778,0.002239777778,0.187952777778,0.209584888889,0.450000000000
4,1027953.036,891678.2899,0.278018659420,0.321973913043,0.112600181159,0.127619021739,0.450000000000
5,715483.1087,620632.2005,0.315641032609,0.373153532609,0.130378804348,0.144426086957,0.450000000000
6,1012582.627,878345.5212,0.057964673913,0.069383333333,0.118480797101,0.131911050725,0.450000000000
7,1046402.877,907682.2531,0.006712092391,0.007584646739,0.121908423913,0.128414266304,0.450000000000
8,881077.4401,764273.8504,0.219815000000,0.256063478261,0.101915434783,0.106743260870,0.450000000000
9,536392.6389,465283.5821,0.282736956522,0.332813043478,0.126379347826,0.139680072464,0.450000000000
10,1040375.16,902453.6249,0.053941847826,0.064951630435,0.127380072464,0.137495108696,0.450000000000
11,1353040.505,1173669.226,0.004591413043,0.005075978261,0.123105543478,0.123953478261,0.450000000000
12,546714.6764,474237.237,0.094577173913,0.114684420290,0.194322826087,0.219043478261,0.450000000000
13,559958.0749,485724.9709,0.110446014493,0.136286594203,0.208827536232,0.233028260870,0.450000000000
14,732368.0466,635278.7183,0.006188858696,0.007901902174,0.244685597826,0.273589945652,0.450000000000
15,2162752.18,1876038.202,0.000688276398,0.000889208075,0.211827096273,0.233314673913,0.450000000000
